id_dipendente,first_name,last_name,email,gender,salario,data assunzione,id_autonoleggio,id_manager,numero_di_telefono
1,Laney,Tunnicliffe,ltunnicliffe0@chicagotribune.com,Genderfluid,90111.27,5/4/2020,497.2,5134.38,0902163531
2,Korey,Arro,karro1@e-recht24.de,Female,112783.33,12/25/2020,12.92,15597.84,6452005081
3,Maxwell,Timpany,mtimpany2@booking.com,Genderfluid,323498.39,4/8/2020,291.95,7449.04,3280908663
4,Gustav,Robertet,grobertet3@amazon.co.jp,Polygender,234574.89,2/24/2020,266.22,9300.11,8179339246
5,Lucius,Sanchiz,lsanchiz4@ifeng.com,Polygender,499054.06,7/23/2020,288.06,11521.67,9947457591
6,Paulie,Kock,pkock5@opera.com,Genderqueer,322207.06,4/18/2020,321.69,13462.61,1200752589
7,Nettle,Kupka,nkupka6@tripod.com,Bigender,27529.42,5/5/2020,352.19,24599.55,3347442849
8,Luciano,Chewter,lchewter7@tinypic.com,Agender,199805.67,10/4/2020,378.68,47585.46,1640861904
9,Kale,Tender,ktender8@imageshack.us,Agender,223276.76,3/20/2020,246.91,21061.89,8560478663
10,Currie,Keenor,ckeenor9@nationalgeographic.com,Polygender,444865.01,10/19/2020,348.29,12261.19,4673699335
11,Tanny,Girardengo,tgirardengoa@diigo.com,Bigender,300288.18,4/15/2020,450.09,46425.66,4476249159
12,Cherey,Sear,csearb@gov.uk,Female,162525.75,5/19/2020,147.24,10763.25,8722798935
13,Raynard,Woollin,rwoollinc@blogspot.com,Agender,291918.44,9/5/2020,192.08,37366.67,3438413310
14,Chase,Whyard,cwhyardd@bing.com,Genderfluid,13545.28,10/8/2020,51.47,42933.11,5264997756
15,Liz,Hukins,lhukinse@networkadvertising.org,Genderfluid,192101.64,9/23/2020,74.3,16354.61,1116665816
16,Nils,Pollen,npollenf@army.mil,Bigender,462551.1,3/31/2020,334.52,44847.12,2174265389
17,Keith,Jeacop,kjeacopg@shutterfly.com,Polygender,27202.74,6/6/2020,142.33,28459.16,3090117878
18,Calhoun,Gebby,cgebbyh@sciencedirect.com,Non-binary,277833.51,8/13/2020,82.15,2962.65,8984156108
19,Gaston,Presnall,gpresnalli@businessinsider.com,Agender,409339.78,9/24/2020,92.39,24941.97,9555232199
20,Ely,MacMaykin,emacmaykinj@dell.com,Genderfluid,150653.73,1/16/2021,146.89,2942.9,0269125574
21,Graham,Lindstedt,glindstedtk@gravatar.com,Genderqueer,285077.93,6/27/2020,324.39,40270.56,3846670634
22,Paige,Binge,pbingel@indiegogo.com,Agender,173818.81,9/1/2020,239.5,16034.24,9289649585
23,Kevin,Meiklam,kmeiklamm@sun.com,Female,179474.46,4/11/2020,422.46,18659.57,4950387197
24,Cicily,Lusted,clustedn@google.pl,Genderfluid,476025.0,8/25/2020,264.89,48561.8,1485347009
25,Gunar,Domke,gdomkeo@gizmodo.com,Female,108390.75,3/3/2020,81.47,30391.43,5904583370
26,Devy,Nassey,dnasseyp@sun.com,Bigender,485352.74,11/26/2020,46.39,23002.26,7333175847
27,Osbert,Dullard,odullardq@woothemes.com,Genderfluid,278296.76,2/19/2020,279.43,10805.9,1983326038
28,Corrie,Ramsbotham,cramsbothamr@state.tx.us,Bigender,346288.31,6/17/2020,495.76,12936.24,6284088736
29,Hyman,Sieb,hsiebs@skyrock.com,Female,319405.15,10/31/2020,451.35,30011.22,3533943607
30,Kessia,Fortune,kfortunet@webmd.com,Polygender,198423.62,5/15/2020,180.76,34825.62,7471891270
31,Lolita,Truscott,ltruscottu@soup.io,Polygender,172521.3,1/23/2021,331.81,17346.74,0526381531
32,Colline,Penylton,cpenyltonv@rakuten.co.jp,Genderfluid,48823.25,5/14/2020,423.15,14064.57,5783987301
33,Elton,Morrill,emorrillw@google.fr,Agender,156767.69,11/5/2020,85.42,46015.99,7390847026
34,Artemus,Vaune,avaunex@wiley.com,Male,108359.61,3/3/2020,233.99,10692.71,1963219031
35,Juliana,Poyzer,jpoyzery@answers.com,Genderqueer,320003.28,3/19/2020,131.39,7927.0,4332687760
36,Roderich,Ladds,rladdsz@examiner.com,Agender,371087.28,6/19/2020,483.62,30576.48,0566098857
37,Anet,Pinwill,apinwill10@umich.edu,Polygender,140560.17,4/7/2020,22.8,4841.76,0559070470
38,Gar,Akehurst,gakehurst11@github.com,Polygender,441448.76,12/29/2020,417.44,32764.83,6708245221
39,Lauren,Radbourn,lradbourn12@foxnews.com,Male,84798.04,4/2/2020,338.6,23336.01,0159906717
